sales_id,product_id,customer_id,date,region_id,sales_amt
1,148,297,2015-01-04,8,1700
2,167,260,2015-01-06,2,750
3,112,229,2015-01-06,10,1600
4,140,277,2015-01-06,1,2500
5,113,257,2015-01-09,5,400
6,101,272,2015-01-10,7,500
7,110,263,2015-01-12,10,1800
8,114,253,2015-01-14,9,1300
9,173,235,2015-01-14,10,1300
10,190,269,2015-01-16,4,2100
11,188,254,2015-01-18,2,1600
12,158,289,2015-01-22,7,1400
13,160,219,2015-01-23,6,2500
14,185,268,2015-01-24,9,2300
15,178,234,2015-01-25,6,1400
16,184,234,2015-01-30,5,1200
17,159,210,2015-02-05,10,1800
18,198,263,2015-02-06,9,1400
19,167,211,2015-02-07,7,750
20,161,291,2015-02-07,1,950
21,106,244,2015-02-07,5,600
22,186,202,2015-02-13,1,1000
23,121,250,2015-02-15,8,900
24,118,225,2015-02-22,4,1500
25,177,213,2015-02-24,8,650
26,103,210,2015-02-25,9,300
27,113,248,2015-02-25,2,400
28,120,266,2015-02-27,6,1900
29,198,295,2015-03-01,6,1400
30,117,282,2015-03-01,3,700
31,149,219,2015-03-02,4,1000
32,155,265,2015-03-02,4,2200
33,170,295,2015-03-08,3,2100
34,112,290,2015-03-09,10,1600
35,173,256,2015-03-13,9,1300
36,184,262,2015-03-18,3,1200
37,178,294,2015-03-19,8,1400
38,149,280,2015-03-21,10,1000
39,168,216,2015-03-24,1,1600
40,124,212,2015-03-25,9,1800
41,168,203,2015-03-27,7,1600
42,173,248,2015-03-30,10,1300
43,193,264,2015-04-02,5,1300
44,183,223,2015-04-08,3,600
45,157,255,2015-04-10,4,700
46,167,230,2015-04-13,9,750
47,189,217,2015-04-15,6,1100
48,138,209,2015-04-16,4,1600
49,144,214,2015-04-20,1,1300
50,151,203,2015-04-21,8,1500
51,148,281,2015-04-22,6,1700
52,145,235,2015-04-23,6,2400
53,136,269,2015-04-23,10,1400
54,141,214,2015-04-25,8,900
55,112,211,2015-04-26,6,1600
56,105,246,2015-04-27,6,1500
57,160,245,2015-04-28,10,2500
58,143,256,2015-04-28,10,700
59,149,233,2015-04-28,10,1000
60,155,283,2015-05-01,7,2200
61,153,245,2015-05-05,9,1600
62,197,299,2015-05-06,4,650
63,111,254,2015-05-13,7,900
64,123,272,2015-05-15,9,500
65,151,276,2015-05-16,7,1500
66,120,257,2015-05-21,1,1900
67,184,267,2015-05-26,4,1200
68,126,209,2015-05-30,8,1200
69,129,262,2015-05-31,7,1000
70,159,219,2015-06-04,5,1800
71,126,225,2015-06-07,5,1200
72,124,265,2015-06-07,2,1800
73,146,294,2015-06-07,8,1100
74,151,203,2015-06-08,1,1500
75,165,201,2015-06-08,1,2300
76,151,298,2015-06-09,4,1500
77,139,290,2015-06-13,4,1700
78,194,237,2015-06-13,10,1800
79,170,259,2015-06-15,10,2100
80,150,241,2015-06-17,6,2000
81,193,205,2015-06-20,9,1300
82,137,207,2015-06-27,10,900
83,136,214,2015-07-01,7,1400
84,122,235,2015-07-03,8,1400
85,159,277,2015-07-06,1,1800
86,116,251,2015-07-11,7,1000
87,104,295,2015-07-19,6,1000
88,122,227,2015-07-20,4,1400
89,129,241,2015-07-20,2,1000
90,114,215,2015-07-24,8,1300
91,131,272,2015-07-27,10,1300
92,158,216,2015-08-03,1,1400
93,114,288,2015-08-03,1,1300
94,159,280,2015-08-09,3,1800
95,147,230,2015-08-13,7,800
96,103,229,2015-08-19,10,300
97,195,257,2015-08-20,6,2200
98,172,269,2015-08-21,5,500
99,182,204,2015-08-23,9,1700
100,190,277,2015-08-25,4,2100
101,147,271,2015-08-30,3,800
102,179,239,2015-09-02,6,1900
103,164,283,2015-09-02,6,1200
104,133,209,2015-09-06,8,600
105,167,232,2015-09-10,5,750
106,155,219,2015-09-15,7,2200
107,122,247,2015-09-18,4,1400
108,194,253,2015-09-20,2,1800
109,101,202,2015-09-23,4,500
110,147,206,2015-09-24,3,800
111,103,201,2015-09-29,9,300
112,108,253,2015-10-04,2,2000
113,170,261,2015-10-13,3,2100
114,111,228,2015-10-15,5,900
115,142,222,2015-10-15,1,1600
116,175,255,2015-10-20,2,2200
117,185,300,2015-10-23,10,2300
118,111,299,2015-10-24,3,900
119,144,290,2015-10-27,4,1300
120,137,222,2015-10-28,1,900
121,164,297,2015-10-28,4,1200
122,109,299,2015-10-29,5,700
123,112,220,2015-11-02,10,1600
124,126,288,2015-11-04,5,1200
125,150,220,2015-11-05,6,2000
126,200,203,2015-11-05,10,2400
